,SPY_px,SPY_ret,SPY_garch,SPY_gjr,TLT_px,TLT_ret,TLT_garch,TLT_gjr
2002-07-30,59.341808,,,,37.468731,,,
2002-07-31,59.485374,0.24151938466454975,33.12550544793528,33.04937613990762,37.932953,1.2312270997209258,12.897609424365514,12.899211708488476
2002-08-01,57.932323,-2.6456173258853926,30.63350361803187,30.957550885559577,38.148998,0.567809555310332,13.312941789284073,13.412177342168315
2002-08-02,56.633778,-2.2671083245160832,32.31581185360783,34.63206961152811,38.539646,1.0186794564667907,13.127506794142052,13.24725454063479
2002-08-05,54.663132,-3.541730360355007,32.73555464990707,36.271399066544994,38.709705,0.4401675632531394,13.295646993892309,13.474989105044267
2002-08-06,56.503284,3.310809135183139,36.64083901534984,42.30068507518883,38.378807,-0.8586128068306347,13.049447637233543,13.238925293726206
2002-08-07,57.488613,1.728694257595635,38.55880448038424,39.80442322919106,38.470718,0.2390783809212355,13.105126095106797,13.230803022240826
2002-08-08,59.348339,3.1836050257997113,36.83671618604701,37.310809523266876,38.470718,-0.00011904761904761905,12.801191098095277,12.931873836398573
2002-08-09,59.570164,0.3729520080831645,38.37549483005988,35.16854916034368,39.013069,1.3998121599255549,12.48270481021594,12.615793919127762
2002-08-12,59.133007,-0.7366772586506936,35.47932822204583,32.931115774970294,39.25206,0.6106043891994468,13.15232891253714,13.396901269122564
2002-08-13,58.056328,-1.8376741388911948,33.106237019285246,31.326750542024996,39.734699,1.221971877404608,12.998604295296955,13.259656128053274
2002-08-14,60.177055,3.5876231327125514,32.49404710771819,32.19455915466393,39.886372,0.38086850142558365,13.394291965075034,13.727703982084394
2002-08-15,61.012314,1.3783388696097671,36.11815028281349,30.523706648807817,39.537052,-0.8797644591771419,13.121053822422724,13.456296927938588
2002-08-16,60.829609,-0.30002425666948046,34.18466104697967,28.662267471252445,39.095783,-1.1224838516394846,13.190626163368783,13.451080693667588
2002-08-19,62.252102,2.311445080431444,31.663818242697825,26.983360752192844,39.215294,0.30510237790287004,13.494374244743861,13.643457874503177
2002-08-20,61.593079,-1.0643981987987732,31.939952580581377,25.495336313822868,39.651951,1.1072138174936392,13.19299832302804,13.348380028318836
2002-08-21,62.480495,1.4303727227869918,30.240733982890838,25.16711932442981,39.440514,-0.5347780791169892,13.445934546028301,13.66825686346067
2002-08-22,63.087395,0.9665368798484271,29.022294243042516,23.70322603540032,39.095783,-0.8780143067557105,13.253977555507955,13.451491294309275
2002-08-23,61.730091,-2.175066721973447,27.33295778876978,22.307578415845587,39.481892,0.9826336427299727,13.313630445101065,13.445285883915979
2002-08-26,62.16074,0.6950909707855542,28.385383790185074,26.143845673120985,39.518654,0.09294867030149985,13.434654907975144,13.620662502907582
2002-08-27,61.443005,-1.1614804078031464,26.50876342703048,24.55365743521641,39.270451,-0.6301650953584885,13.097234177609444,13.2845096111222
2002-08-28,60.098728,-2.212251103305625,25.549546320343644,24.56460774690423,39.468098,0.5019156422060562,12.978056633711178,13.131209354594946
2002-08-29,60.124855,0.04334497126868127,27.041481591272465,27.998621910699974,39.785255,0.8002475767505719,12.773355625948891,12.940692945826841
2002-08-30,59.889942,-0.3915929423038161,25.04138048988497,26.260841760392935,40.024261,0.5988238516043283,12.770806165437616,12.973170614519999
2002-09-03,57.606045,-3.88822581980834,23.36258815244041,24.832962429139275,40.639568,1.5255187564288382,12.628268734067788,12.848337191112828
2002-09-04,58.428268,1.4171113231913819,31.3408255736632,36.18657084847512,40.630341,-0.022826099105084863,13.45830765149697,13.797927972814232
2002-09-05,57.932323,-0.8525519870779834,29.976457613900106,33.92455587574018,40.851894,0.5436891726483801,13.117905001760747,13.453729807046635
2002-09-06,58.728443,1.364748312869772,28.232839245769828,32.38558992277347,40.371845,-1.182173938179028,12.928329309340084,13.272647429948476
2002-09-09,59.1591,0.7305076238677306,27.14872675289619,30.38950086478291,40.311829,-0.1488877094650803,13.321077473970973,13.533533101098511
2002-09-10,59.837738,1.1404916928287752,25.41526031817988,28.497449134388155,40.505726,0.47972069025359726,12.998140356564136,13.208946351596886
2002-09-11,59.465805,-0.6236281163299178,24.323538578321553,26.763906230959208,40.293346,-0.5258193653463876,12.781915203047198,13.003294392548103
2002-09-12,58.369545,-1.8608367853601275,22.903855521256986,25.544279426360823,40.607277,0.7759752866089582,12.615274888316469,12.810628920189842
2002-09-13,58.513096,0.24551378707507293,23.960205912997584,27.464307234892214,40.98119,0.9164703468389974,12.60279901235585,12.829563401283655
2002-09-16,58.656639,0.24489827159151328,22.24143801658241,25.76595627002039,41.050377,0.16856483575851516,12.710214091925268,12.979297460275816
2002-09-17,57.312428,-2.3184462354884654,20.671743463548072,24.189089226971564,41.128872,0.19091463746990062,12.406861646968094,12.674257627804314
2002-09-18,56.738174,-1.0071437241050378,23.584522713302018,28.1471866294409,41.138088,0.02228605897185827,12.118231299076482,12.383963577986005
2002-09-19,55.269951,-2.621905816890187,22.73442341545192,27.40847073987409,41.415062,0.6709032919940889,11.82338459329239,12.086118781385757
2002-09-20,55.288315,0.03310144476618544,26.12594138255695,31.821298905556056,41.221207,-0.46929646318360657,11.776641737295728,12.058993128344138
2002-09-23,54.836071,-0.8214567345244244,24.20349662861424,29.814157429381382,41.590466,0.891691089675732,11.625487554172519,11.881278546732185
2002-09-24,53.951157,-1.6270260561546528,23.02062610282107,28.59789224933477,41.858181,0.6415112917236105,11.77659993814901,12.071567631941836
2002-09-25,55.288315,2.4481256478219344,23.470969460421685,29.273895149474214,41.35041,-1.2206115400906064,11.711677830937703,12.022439221374034
