Date,SPY,TLT
2003-03-25,57.880497,41.328358
2003-03-26,57.589516,41.41357
2003-03-27,57.635799,41.441994
2003-03-28,57.344791,41.536652
2003-03-31,56.041946,42.081001
2003-04-01,56.901714,41.961205
2003-04-02,58.277252,41.523853
2003-04-03,57.999535,41.500092
2003-04-04,58.343422,41.381264
2003-04-07,58.231018,41.286167
2003-04-08,58.323574,41.618973
2003-04-09,57.556412,41.742531
2003-04-10,57.873882,41.547604
2003-04-11,57.635799,41.481071
2003-04-14,58.826229,41.366993
2003-04-15,59.375118,41.590408
2003-04-16,58.363274,41.761578
2003-04-17,59.229626,41.828121
2003-04-21,59.289127,41.737766
2003-04-22,60.406796,41.714024
2003-04-23,60.962322,41.799587
2003-04-24,60.42004,42.175121
2003-04-25,59.672695,42.270195
2003-04-28,60.704399,42.203629
2003-04-29,60.916046,42.132324
2003-04-30,60.783779,42.522148
2003-05-01,60.77713,42.542728
2003-05-02,61.643501,42.208183
2003-05-05,61.524479,42.432781
2003-05-06,62.106449,42.643055
2003-05-07,61.762535,43.140057
2003-05-08,61.140854,43.24519
2003-05-09,61.987392,43.288273
2003-05-12,62.74794,43.560627
2003-05-13,62.635498,43.656193
2003-05-14,62.503242,44.325253
2003-05-15,62.900055,44.46386
2003-05-16,62.741341,44.788815
2003-05-19,61.273174,44.635918
2003-05-20,61.147499,45.295391
2003-05-21,61.273174,45.29063
2003-05-22,61.88158,45.692028
2003-05-23,62.007252,45.806744
2003-05-27,63.091866,44.980019
2003-05-28,63.27042,44.9035
2003-05-29,63.105068,45.295391
2003-05-30,64.116913,45.209389
2003-06-02,64.38147,44.877281
2003-06-03,64.645973,45.237236
2003-06-04,65.578499,45.371605
2003-06-05,65.902542,45.016445
2003-06-06,65.64463,45.179646
2003-06-09,64.976662,45.481987
2003-06-10,65.638023,46.024345
2003-06-11,66.332436,45.966709
2003-06-12,66.537422,46.326626
2003-06-13,65.84304,46.638573
2003-06-16,67.231819,46.197071
2003-06-17,67.231819,45.832302
2003-06-18,67.172325,45.246826
2003-06-19,66.147232,45.160439
2003-06-20,66.001236,44.992466
2003-06-23,65.324188,45.261234
2003-06-24,65.390541,45.678764
2003-06-25,64.733513,44.949291
2003-06-26,65.576431,44.344578
2003-06-27,64.819786,44.186195
2003-06-30,64.799873,44.392536
2003-07-01,65.397209,44.172417
2003-07-02,66.220253,44.283215
2003-07-03,65.536598,43.647282
2003-07-07,66.837502,43.367863
2003-07-08,67.136215,43.406399
2003-07-09,66.757843,43.546089
2003-07-10,65.908302,43.531651
2003-07-11,66.532204,43.738819
2003-07-14,66.857437,43.237808
2003-07-15,66.711411,42.226139
2003-07-16,66.319817,42.466976
2003-07-17,65.377327,42.336895
2003-07-18,66.047676,42.250172
2003-07-21,65.2313,41.354103
2003-07-22,65.821976,41.556458
2003-07-23,65.868484,41.696171
2003-07-24,65.370674,41.33004
2003-07-25,66.525558,41.219234
2003-07-28,66.280014,40.665207
2003-07-29,65.974693,40.111214
2003-07-30,65.815392,40.564034
2003-07-31,65.968033,39.961811
2003-08-01,65.383926,39.931831
2003-08-04,65.383926,40.275444
2003-08-05,63.99678,39.699547
2003-08-06,64.368454,40.483547
2003-08-07,65.045456,40.652943
2003-08-08,65.2313,40.488384
2003-08-11,65.476891,40.285122
2003-08-12,66.074196,40.096378
2003-08-13,65.735741,39.322041
2003-08-14,65.914932,39.709175
2003-08-15,66.120659,39.685009
2003-08-18,66.691467,39.868919
2003-08-19,66.943726,40.483547
2003-08-20,66.671577,40.265736
2003-08-21,66.883995,40.16898
2003-08-22,66.220253,40.348053
2003-08-25,66.326454,40.033466
2003-08-26,66.445938,40.348053
2003-08-27,66.465836,40.164124
2003-08-28,66.877327,40.580341
2003-08-29,67.32869,40.483547
2003-09-02,68.231323,39.891434
2003-09-03,68.60305,39.95462
2003-09-04,68.636246,40.178265
2003-09-05,68.251259,40.868511
2003-09-08,68.815407,40.445614
2003-09-09,68.364113,40.737305
2003-09-10,67.673805,41.150505
2003-09-11,67.872917,40.883118
2003-09-12,67.999023,41.165085
2003-09-15,67.760101,41.101921
2003-09-16,68.749031,41.038681
2003-09-17,68.616341,41.549145
2003-09-18,69.426094,41.578293
